filename,experiment_id,arm,dataset,backbone,optimizer_seed,pair_seed,config_path,acc_certain,acc_hybrid,bytes,sha256,in_github_release,release_asset,role
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B1_sync_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc__B1_sync,B1_sync,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B1_sync.json,72.85223367697594,71.23975680676712,5353210,061b18ca59edd3ab42cf76b244b73668e98d94d4a9057a76c5f6c6c40c5c9c72,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B1_sync_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc__B1_sync,B1_sync,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B1_sync.json,72.90510177108115,71.39836108908274,5353193,2cd87221c37437659777db8fa221e2759b8a9e4fa3e697398d7f236f3343e20c,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B4_syncnorm_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm,B4_syncnorm,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm.json,76.36796193497224,74.75548506476342,5353440,968e23a444a8214f681bb79137c9a66a96f39668132af50e4493679214fc7e1b,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B4_syncnorm_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm,B4_syncnorm,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm.json,75.3370340999207,74.33254031192176,5353406,e33a7e95fd5361eafa934123ae452fe84fe54516dab97603459b9fe82fdce074,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_B4_syncnorm_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm,B4_syncnorm,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc__B4_syncnorm.json,76.79090668781392,75.07269362939466,5353325,1354174a63a4785b509d1b22736d3fd187afdd4fca1ab624cc4c47fd7c0557ff,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear,B0_linear,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear.json,72.08564631245044,65.00132170235263,18842999,c0b2fd06a15240eed4042213bbf3eb48d3cc0ffaf28a12bfd0e1e9c568e03f3d,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear,B0_linear,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear.json,72.24425059476606,65.13349193761564,18842971,60cd8b6facc8e46cbe81918315d63dcb765550108facfdc2436d7f0acb072623,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B0_linear_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear,B0_linear,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B0_linear.json,72.5085910652921,64.60481099656357,18842509,00051519172d3db01b29717f57b293c87c362002d75a908dc7d1bf8bacf42f3d,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B1_sync_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync,B1_sync,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync.json,73.16944224160719,70.52603753634682,18781843,c0a516f5064da356bbc0fdab39053aeb61ac2a46e2c444df158c0517ba44d1b8,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B1_sync_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync,B1_sync,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync.json,72.11208035950304,69.60084588950568,18781169,535e8be62e9620f0211353190797abcbf3620a5bd6be102e201e0f74c60fd9e2,True,synccaps-checkpoints-resnet18.tar,supporting
