experiment_id,result_batch_id,config_path,dataset,backbone,arm,family,split,optimizer_seed,pair_seed,n_synch,n_self,exclude_self,lr,single_view_acc_certain,single_view_acc_final,single_view_acc_hybrid,mean_exit_tick,best_val,epoch_selection,checkpoint,checkpoint_present,status,exit_code,three_clip_acc_certain,three_clip_acc_final,three_clip_acc_hybrid,three_clip_mean_exit_tick,multiclip_n_views,single_view_drift
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,ucf101,clip_b32,B4_gram,clip,_official1_noval,7,0,2048,64,False,0.001,82.07771609833465,82.87073750991277,81.7076394395982,6.311657414750198,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,42,0,2048,64,False,0.001,82.4477927570711,83.39941845096484,81.81337562780861,5.869151467089611,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,1337,0,2048,64,False,0.001,82.5006608511763,83.0822098863336,81.65477134549299,5.871266190853819,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,7,0,2048,64,False,0.001,82.13058419243985,82.57996299233412,81.60190325138778,5.758392809939202,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear,ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear.json,ucf101,clip_b32,LR_bilinear,clip,_official1_noval,42,0,2048,64,False,0.001,73.48665080623844,74.12106793550093,71.31905894792493,4.411049431667989,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_LR_bilinear_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear,ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear.json,ucf101,clip_b32,LR_bilinear,clip,_official1_noval,1337,0,2048,64,False,0.001,75.83928099392017,76.87020882897173,74.38540840602697,4.904573090140101,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_LR_bilinear_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear,ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear.json,ucf101,clip_b32,LR_bilinear,clip,_official1_noval,7,0,2048,64,False,0.001,75.81284694686757,76.15648955855141,74.86122125297383,4.988104678826328,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_LR_bilinear_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,ucf101,clip_b32,B4_gram,clip,_official1_noval,19,0,2048,64,False,0.001,82.81786941580756,84.08670367433254,82.63283108643932,6.217552207242929,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram_seed19.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,ucf101,clip_b32,B4_gram,clip,_official1_noval,101,0,2048,64,False,0.001,82.4477927570711,82.89717155696538,81.7340734866508,6.320380650277557,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram_seed101.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,ucf101,clip_b32,B4_gram,clip,_official1_noval,2026,0,2048,64,False,0.001,82.5006608511763,82.95003965107058,81.78694158075601,6.237642083002908,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram_seed2026.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,19,0,2048,64,False,0.001,82.87073750991277,82.92360560401798,82.36849061591329,5.922548242135871,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed19.pt,True,completed,0,,,,,,
